Codificació;denominaci;Departament;membre;c_rrec_en_l_rgan_de_govern_superior;c_rrec_o_lloc_de_treball;SAC.carrec;SAC.codi_d_informaci;rgan_que_designa;SAC;nom_1;Observacions
Institut per al Desenvolupament de les Comarques de l'Ebre (IDECE)Representants determinats pel Govern en representació de la GeneralitatDirector dels Serveis Territorials d'Empresa i Treball a les Terres de l'Ebre;Institut per al Desenvolupament de les Comarques de l'Ebre (IDECE);EMT - Departament d'Empresa i Treball;Representants determinats pel Govern en representació de la Generalitat;Vocal;Director dels Serveis Territorials d'Empresa i Treball a les Terres de l'Ebre;#N/D;12219;Govern de la Generalitat de Catalunya;#N/D;Adam Tomàs Roiget;
Fundació Institut Ramon Muntaner. Fundació Privada dels Centres d'Estudis de Parla CatalanaVicepresident/a primer/a a proposta del Departament de Cultura de la GeneralitatDirector dels Serveis Territorials de Cultura a les Terres de l'Ebre;Fundació Institut Ramon Muntaner. Fundació Privada dels Centres d'Estudis de Parla Catalana;CLT - Departament de Cultura;Vicepresident/a primer/a a proposta del Departament de Cultura de la Generalitat;Vicepresident/a primer;Director dels Serveis Territorials de Cultura a les Terres de l'Ebre;#N/D;2281;Conseller/a de Cultura;#N/D;Manel Zaera Idiarte;
Consorci per a la Protecció i la Gestió dels Espais Naturals del Delta del LlobregatRepresentant de la Generalitat de CatalunyaSub-director general de Biodiversitat i Medi Natural;Consorci per a la Protecció i la Gestió dels Espais Naturals del Delta del Llobregat;TER - Departament de Territori, Habitatge i Transició Ecològica;Representant de la Generalitat de Catalunya;Vocal;Sub-director general de Biodiversitat i Medi Natural;#N/D;18273;Conseller/a en matèria de Medi Ambient;#N/D;Jaume Vicens Perpinyà;
Institut per al Desenvolupament de les Comarques de l'Ebre (IDECE)La presidència, que recau en el conseller del Departament al qual estigui adscrit l'InstitutConseller d’Empresa i Treball;Institut per al Desenvolupament de les Comarques de l'Ebre (IDECE);EMT - Departament d'Empresa i Treball;La presidència, que recau en el conseller del Departament al qual estigui adscrit l'Institut;President/a;Conseller d’Empresa i Treball;#N/D;19775;President de la Generalitat de Catalunya;#N/D;Miquel Samper Rodríguez;
Agència de Gestió d'Ajuts Universitaris i de Recerca (AGAUR)Un o una vocal designat pel titular del departament competent en matèria d’economiaSubdirector General de Programació Financera del SP Instrument i de les Inversions;Agència de Gestió d'Ajuts Universitaris i de Recerca (AGAUR);REU - Departament de Recerca i Universitats;Un o una vocal designat pel titular del departament competent en matèria d’economia;Vocal;Subdirector General de Programació Financera del SP Instrument i de les Inversions;#N/D;15120;Conseller/a d'Economia i Hisenda;#N/D;Jordi Sort Miret;
Fundació Alicia, Alimentació i Ciència, Fundació PrivadaAdministració de la Generalitat de CatalunyaConsellera d'Acció Climàtica, Alimentació i Agenda Rural;Fundació Alicia, Alimentació i Ciència, Fundació Privada;ARP - Departament d'Agricultura, Ramaderia, Pesca i Alimentació;Administració de la Generalitat de Catalunya;Vocal;Consellera d'Acció Climàtica, Alimentació i Agenda Rural;#N/D;4163;Govern de la Generalitat de Catalunya;#N/D;Teresa Jordà Roura;
Infraestructures Ferroviàries de CatalunyaVocals nomenats pel Govern, a proposta del conseller/a comp. en matèria de transport ferroviariSub-director general de Projectes i Obres TES TES;Infraestructures Ferroviàries de Catalunya;TER - Departament de Territori, Habitatge i Transició Ecològica;Vocals nomenats pel Govern, a proposta del conseller/a comp. en matèria de transport ferroviari;Vocal;Sub-director general de Projectes i Obres TES TES;#N/D;9723;Govern de la Generalitat de Catalunya;#N/D;Pedro Malavia Cuevas;
Consorci del Transport Públic del Camp de Tarragona, Autoritat Territorial de la MobilitatVocal en representació de la Generalitat a proposta de VPDDirectora dels Serveis Territorials de Territori i Sostenibilitat a Tarragona;Consorci del Transport Públic del Camp de Tarragona, Autoritat Territorial de la Mobilitat;TER - Departament de Territori, Habitatge i Transició Ecològica;Vocal en representació de la Generalitat a proposta de VPD;Vocal;Directora dels Serveis Territorials de Territori i Sostenibilitat a Tarragona;#N/D;15362;Conseller/a de Territori i Sostenibilitat;#N/D;Trinitat Castro Salomó;
Consorci del Transport Públic del Camp de Tarragona, Autoritat Territorial de la MobilitatVocal en representació de la Generalitat a proposta PREDirector dels serveis territorials del Departament de la Presidència a Tarragona;Consorci del Transport Públic del Camp de Tarragona, Autoritat Territorial de la Mobilitat;TER - Departament de Territori, Habitatge i Transició Ecològica;Vocal en representació de la Generalitat a proposta PRE;Vocal;Director dels serveis territorials del Departament de la Presidència a Tarragona;#N/D;11026;La Secretaria General de la Presidència;#N/D;Angel Cortadelles Bacaria;
Fundació Observatori de l'EbrePatró designat per la persona titular del departament competent en matèria de recercaSubdirector general de Recerca;Fundació Observatori de l'Ebre;REU - Departament de Recerca i Universitats;Patró designat per la persona titular del departament competent en matèria de recerca;Patró;Subdirector general de Recerca;#N/D;141;Departament d'Empresa i Coneixement;#N/D;David Fernández Barba;No coincideix òrgan que el designa amb el càrrec designat
Fundació Institut d’Investigació Biomèdica de Girona Dr. Josep Trueta (IdIBGI)Membre designat per la persona titular del departament competent en matèria de recercaSub-director general de Recerca;Fundació Institut d’Investigació Biomèdica de Girona Dr. Josep Trueta (IdIBGI);SLT - Departament de Salut;Membre designat per la persona titular del departament competent en matèria de recerca;Patró;Sub-director general de Recerca;#N/D;141;Conseller/a d'Empresa i Coneixement;#N/D;Francisco Javier Massó Pérez ;No coincideix òrgan que el designa amb el càrrec designat
Fundació Institut d'Investigació Biomèdica de Bellvitge (IDIBELL)Persones designades per la persona titular del departament de la Generalitat competent en recercaSubdirector General de Recerca – Departament de Recerca i Universitats;Fundació Institut d'Investigació Biomèdica de Bellvitge (IDIBELL);SLT - Departament de Salut;Persones designades per la persona titular del departament de la Generalitat competent en recerca;Patró;Subdirector General de Recerca – Departament de Recerca i Universitats;#N/D;141;Departament de Recerca;#N/D;Francisco Javier Massó Pérez ;
Infraestructures Ferroviàries de CatalunyaVocals nomenats pel Govern, a proposta del conseller/a comp. en matèria de transport ferroviariPresident i conseller delegat d'Infraestructures de la Generalitat de Catalunya, SAU;Infraestructures Ferroviàries de Catalunya;TER - Departament de Territori, Habitatge i Transició Ecològica;Vocals nomenats pel Govern, a proposta del conseller/a comp. en matèria de transport ferroviari;Vocal;President i conseller delegat d'Infraestructures de la Generalitat de Catalunya, SAU;#N/D;3670;Govern de la Generalitat de Catalunya;#N/D;Oriol Güell Roset;
Consorci del Transport Públic del Camp de Tarragona, Autoritat Territorial de la MobilitatVocal en representació de la Generalitat a proposta de VPDSub-director general d'Ordenació del Transport i Desenvolupament Sectorial;Consorci del Transport Públic del Camp de Tarragona, Autoritat Territorial de la Mobilitat;TER - Departament de Territori, Habitatge i Transició Ecològica;Vocal en representació de la Generalitat a proposta de VPD;Vocal;Sub-director general d'Ordenació del Transport i Desenvolupament Sectorial;#N/D;9728;Conseller/a de Territori i Sostenibilitat;#N/D;José María Fortuny Olivé;
Consorci del BesòsRepresentant del departament compet en cultura, o altra depart que decideixi GeneralitatConsellera del Departament de Cultura;Consorci del Besòs;TER - Departament de Territori, Habitatge i Transició Ecològica;Representant del departament compet en cultura, o altra depart que decideixi Generalitat;Vocal;Consellera del Departament de Cultura;#N/D;2221;Govern de la Generalitat de Catalunya;#N/D;Sònia Hernàndez Almodòvar;
Centre de la Propietat ForestalLa presidència, que correspon al conseller/a competent en matèria de forestsConseller del Departament d'Agricultura, Ramaderia, Pesca i Alimentació;Centre de la Propietat Forestal;ARP - Departament d'Agricultura, Ramaderia, Pesca i Alimentació;La presidència, que correspon al conseller/a competent en matèria de forests;President/a;Conseller del Departament d'Agricultura, Ramaderia, Pesca i Alimentació;#N/D;4163;President de la Generalitat de Catalunya;#N/D;Oscar Ordeig Molist;
Consorci Centre de Ciència i Tecnologia Forestal de CatalunyaEl/la conseller/a del dep. de la Generalitat competent en matèria de boscos que en serà president/aConseller del Departament d'Agricultura, Ramaderia, Pesca i Alimentació;Consorci Centre de Ciència i Tecnologia Forestal de Catalunya;ARP - Departament d'Agricultura, Ramaderia, Pesca i Alimentació;El/la conseller/a del dep. de la Generalitat competent en matèria de boscos que en serà president/a;President/a;Conseller del Departament d'Agricultura, Ramaderia, Pesca i Alimentació;#N/D;4163;President de la Generalitat de Catalunya;#N/D;Oscar Ordeig Molist;
Fundació Fira de GironaDepartament d'Empresa i TreballSubdirectora general de Comerç;Fundació Fira de Girona;EMT - Departament d'Empresa i Treball;Departament d'Empresa i Treball;Patró;Subdirectora general de Comerç;#N/D;5470;Conseller d'Empresa i Treball;#N/D;Montserrat Gallardo Planes;
Consorci Museu Nacional d'Art de CatalunyaVocals nomenats per la Generalitat de CatalunyaDirectora de l'Institut Ramon Llull;Consorci Museu Nacional d'Art de Catalunya;CLT - Departament de Cultura;Vocals nomenats per la Generalitat de Catalunya;Vocal;Directora de l'Institut Ramon Llull;#N/D;12863;Conseller/a de Cultura;directora de l'Institut Ramon Llull;Anna Guitart Ferrer;
Institució de les Lletres CatalanesVocal en representació de la Generalitat, representant de l'Institut Ramon LlullDirectora de l'Institut Ramon Llull;Institució de les Lletres Catalanes;CLT - Departament de Cultura;Vocal en representació de la Generalitat, representant de l'Institut Ramon Llull;Vocal;Directora de l'Institut Ramon Llull;#N/D;12863;Conseller/a de Cultura;directora de l'Institut Ramon Llull;Anna Guitart Ferrer;
Memorial DemocràticEl director/a del Museu d'Història de CatalunyaDirectora del Museu d'Història de Catalunya;Memorial Democràtic;JUS - Departament de Justícia i Qualitat Democràtica;El director/a del Museu d'Història de Catalunya;Membre;Directora del Museu d'Història de Catalunya;#N/D;2399;;#N/D;Margarida Sala Albareda;
Infraestructures Ferroviàries de CatalunyaVocals nomenats pel Govern, a proposta del conseller/a comp. en matèria de transport ferroviariSub-directora general de Gestió Econòmica, Contractació i Règim Interior TES;Infraestructures Ferroviàries de Catalunya;TER - Departament de Territori, Habitatge i Transició Ecològica;Vocals nomenats pel Govern, a proposta del conseller/a comp. en matèria de transport ferroviari;Vocal;Sub-directora general de Gestió Econòmica, Contractació i Règim Interior TES;#N/D;19957;Govern de la Generalitat de Catalunya;#N/D;Silvia Vila Martínez;
Fundació Barcelona Capital Nàutica. AC24El/la president/a, que és el/la conseller/a del dept. comp en mat d'empresa, o persona que designiConseller d'Empresa i Treball;Fundació Barcelona Capital Nàutica. AC24;EMT - Departament d'Empresa i Treball;El/la president/a, que és el/la conseller/a del dept. comp en mat d'empresa, o persona que designi;President/a;Conseller d'Empresa i Treball;#N/D;19775;President de la Generalitat de Catalunya;conseller d'Empresa i Treball;Roger Torrent Ramió;
Fundació Barcelona Capital Nàutica. AC24Representant nomenats per l'Administració de la Generalitat de CatalunyaSecretari d'Empresa i Competitivitat;Fundació Barcelona Capital Nàutica. AC24;EMT - Departament d'Empresa i Treball;Representant nomenats per l'Administració de la Generalitat de Catalunya;Patró;Secretari d'Empresa i Competitivitat;#N/D;19035;Conseller d'Empresa i Treball;secretari d'Empresa i Competitivitat;Albert Castellanos Maduell;
Fundación Centro para el Estudio del Transporte en el Mediterráneo Occidental (CETMO)Departament de TerritoriSecretari de Mobilitat i Infraestructures;Fundación Centro para el Estudio del Transporte en el Mediterráneo Occidental (CETMO);TER - Departament de Territori, Habitatge i Transició Ecològica;Departament de Territori;Patró;Secretari de Mobilitat i Infraestructures;#N/D;12660;;secretari de Mobilitat i Infraestructures;Marc Sanglas Alcantarilla;
Fundació Barcelona Capital Nàutica. AC24Representant nomenats per l'Administració de la Generalitat de CatalunyaSecretari general d'Empresa i Treball;Fundació Barcelona Capital Nàutica. AC24;EMT - Departament d'Empresa i Treball;Representant nomenats per l'Administració de la Generalitat de Catalunya;Patró;Secretari general d'Empresa i Treball;#N/D;19780;Conseller d'Empresa i Treball;secretari general d'Empresa i Treball;Oriol Sagrera Saula;
